epoch,loss,val_auc
1,0.69384765625,0.5169903765088545
5,0.52197265625,0.7900806912973242
10,0.0869140625,0.5376054764673714
15,0.00804901123046875,0.5317891208337743
20,0.0014848709106445312,0.5902019360572751
25,0.0003809928894042969,0.6518633477748927
30,0.00014138221740722656,0.6544229158526077
35,0.00012230873107910156,0.6712360139932421
40,6.097555160522461e-05,0.5443688182145712
45,3.218650817871094e-05,0.5339987272936043
50,3.4809112548828125e-05,0.5245389068724332
55,2.8431415557861328e-05,0.5183060782719511
1,0.69189453125,0.46773372669772584
5,0.4560546875,0.8121914352502824
10,0.0892333984375,0.7124173014663977
15,0.00957489013671875,0.4451143825469926
20,0.0014257431030273438,0.5420460728274428
25,0.00038552284240722656,0.6154418705171752
30,0.00011444091796875,0.6306301209549809
35,5.984306335449219e-05,0.6365250215629655
40,3.600120544433594e-05,0.6454330868410674
45,3.331899642944336e-05,0.6550143061599469
50,2.7179718017578125e-05,0.6621497926683959
55,2.3484230041503906e-05,0.6668214433401572
