epoch,loss,val_auc
1,0.69775390625,0.3990859606463108
5,0.5751953125,0.5535377343514711
10,0.354736328125,0.5884330300382321
15,0.15478515625,0.5604704046193036
20,0.038818359375,0.5562320452316698
25,0.00933074951171875,0.5659842472490546
30,0.0028057098388671875,0.546147839671474
35,0.00102996826171875,0.540127422515841
40,0.0006499290466308594,0.5466634106827329
45,0.00041937828063964844,0.5500454007990612
50,0.00029587745666503906,0.5532134098667589
55,0.00023376941680908203,0.5489784033908917
60,0.0001844167709350586,0.5460122455458941
