epoch,loss,val_auc
1,0.693359375,0.49737362563998333
5,0.60693359375,0.39589700923237603
10,0.391357421875,0.6219179664145059
15,0.1842041015625,0.536648773590924
20,0.05303955078125,0.5428975626111765
25,0.01385498046875,0.5475432622051181
30,0.0040740966796875,0.5624720692064726
35,0.001567840576171875,0.5727222706037169
40,0.0007271766662597656,0.5756485317658718
45,0.0004596710205078125,0.5804573905741639
50,0.0003292560577392578,0.5845853471821447
55,0.00034332275390625,0.5854537157235242
60,0.00021886825561523438,0.5837498371760768
