metapath,spectral_similarity,knn_overlap_k10,auc,f1,cka_with_zfinal,estimated_importance,mps,diversity_score
PAP,0.0009644305790381669,0.05403061450029008,0.619040888888889,0.5904010519395135,0.04382379901733893,0.0652176224792953,0.21062013875452082,
PSP,0.0,0.4467809842059735,0.5851413333333334,0.5520902455209025,0.4834999463136701,0.059840196056307526,0.40811269803182126,
diversity,,,,,,,,0.9676870543510421
average_mps,,,,,,,0.309366418393171,
