dataset,task,seed,test_macro_f1,test_micro_f1,test_accuracy,test_auc,time_sec,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_gcn_hidden,hp_epochs
imdb,nc,8.0,0.6602,0.6643,0.6643,0.8204,6.01,64.0,128.0,5.0,0.1,0.5,0.005,0.0001,400.0,32.0,0.0,10.0
imdb,nc,9.0,0.6256,0.6339,0.6339,0.7894,6.19,64.0,128.0,5.0,0.1,0.5,0.005,0.0001,400.0,32.0,0.0,10.0
imdb,nc,0.0,0.663,0.6715,0.6715,0.8266,7.15,128.0,128.0,3.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.0,10.0
imdb,nc,1.0,0.669,0.6773,0.6773,0.8285,7.4,128.0,128.0,3.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.0,10.0
imdb,nc,2.0,0.6783,0.686,0.686,0.8382,7.25,128.0,128.0,3.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.0,10.0
imdb,nc,3.0,0.6737,0.686,0.686,0.8299,7.24,128.0,128.0,3.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.0,10.0
imdb,nc,4.0,0.6707,0.6787,0.6787,0.8357,7.29,128.0,128.0,3.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.0,10.0
imdb,nc,5.0,0.6677,0.6802,0.6802,0.8318,7.28,128.0,128.0,3.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.0,10.0
imdb,nc,6.0,0.642,0.6671,0.6671,0.8277,6.77,128.0,128.0,3.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.0,10.0
imdb,nc,7.0,0.6779,0.6831,0.6831,0.8281,7.13,128.0,128.0,3.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.0,10.0
imdb,nc,8.0,0.6768,0.686,0.686,0.8416,7.49,128.0,128.0,3.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.0,10.0
imdb,nc,9.0,0.6721,0.6802,0.6802,0.8308,7.44,128.0,128.0,3.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.0,10.0
imdb,nc,0.0,0.6255,0.6365,0.6365,0.7947,5.92,32.0,128.0,1.0,0.1,0.5,0.005,0.0001,600.0,64.0,0.0,10.0
imdb,nc,1.0,0.5567,0.5624,0.5624,0.7351,7.34,32.0,128.0,1.0,0.1,0.5,0.005,0.0001,600.0,64.0,0.0,10.0
imdb,nc,2.0,0.5883,0.5935,0.5935,0.752,11.7,32.0,128.0,1.0,0.1,0.5,0.005,0.0001,600.0,64.0,0.0,10.0
imdb,nc,3.0,0.5846,0.5972,0.5972,0.7604,6.22,32.0,128.0,1.0,0.1,0.5,0.005,0.0001,600.0,64.0,0.0,10.0
imdb,nc,4.0,0.5792,0.591,0.591,0.7553,7.65,32.0,128.0,1.0,0.1,0.5,0.005,0.0001,600.0,64.0,0.0,10.0
imdb,nc,5.0,0.612,0.6241,0.6241,0.7834,6.07,32.0,128.0,1.0,0.1,0.5,0.005,0.0001,600.0,64.0,0.0,10.0
imdb,nc,6.0,0.586,0.5943,0.5943,0.7627,6.62,32.0,128.0,1.0,0.1,0.5,0.005,0.0001,600.0,64.0,0.0,10.0
imdb,nc,7.0,0.6218,0.6361,0.6361,0.7958,5.99,32.0,128.0,1.0,0.1,0.5,0.005,0.0001,600.0,64.0,0.0,10.0
imdb,nc,8.0,0.5869,0.6005,0.6005,0.7643,6.08,32.0,128.0,1.0,0.1,0.5,0.005,0.0001,600.0,64.0,0.0,10.0
imdb,nc,9.0,0.6061,0.6146,0.6146,0.7691,7.16,32.0,128.0,1.0,0.1,0.5,0.005,0.0001,600.0,64.0,0.0,10.0
