dataset,task,seed,test_auc,test_ap,hits@1,hits@3,hits@10,time_sec,hp_d,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
acm,lp,42.0,0.8716,0.5085,0.1227,0.3115,0.6029,17.85,256.0,2.0,0.3,0.5,0.001,0.001,500.0,64.0,0.1,10.0
acm,lp,84.0,0.888,0.5729,0.1472,0.336,0.66,15.8,256.0,2.0,0.3,0.5,0.001,0.001,500.0,64.0,0.1,10.0
acm,lp,126.0,0.9006,0.5902,0.1322,0.2984,0.6119,16.97,256.0,2.0,0.3,0.5,0.001,0.001,500.0,64.0,0.1,10.0
acm,lp,168.0,0.89,0.5548,0.1392,0.2744,0.5924,15.84,256.0,2.0,0.3,0.5,0.001,0.001,500.0,64.0,0.1,10.0
acm,lp,210.0,0.9199,0.661,0.1768,0.4211,0.7561,15.87,256.0,2.0,0.3,0.5,0.001,0.001,500.0,64.0,0.1,10.0
acm,lp,252.0,0.8962,0.5641,0.1632,0.336,0.6755,16.74,256.0,2.0,0.3,0.5,0.001,0.001,500.0,64.0,0.1,10.0
acm,lp,294.0,0.9017,0.571,0.1507,0.345,0.683,18.16,256.0,2.0,0.3,0.5,0.001,0.001,500.0,64.0,0.1,10.0
acm,lp,336.0,0.8964,0.5814,0.1482,0.3055,0.6209,16.37,256.0,2.0,0.3,0.5,0.001,0.001,500.0,64.0,0.1,10.0
acm,lp,378.0,0.932,0.6781,0.2023,0.4427,0.8147,18.49,256.0,2.0,0.3,0.5,0.001,0.001,500.0,64.0,0.1,10.0
acm,lp,420.0,0.894,0.593,0.1492,0.3455,0.692,16.33,256.0,2.0,0.3,0.5,0.001,0.001,500.0,64.0,0.1,10.0
acm,lp,0.0,0.886,0.53,0.7228,0.1427,0.3055,0.6289,19.22,128.0,128.0,4.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.0,10.0
acm,lp,1.0,0.9341,0.6775,0.7611,0.2048,0.4772,0.8322,17.79,128.0,128.0,4.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.0,10.0
acm,lp,2.0,0.9132,0.6179,0.7332,0.1998,0.3881,0.7501,17.64,128.0,128.0,4.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.0,10.0
acm,lp,3.0,0.9281,0.686,0.7543,0.2228,0.4567,0.7852,18.85,128.0,128.0,4.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.0,10.0
acm,lp,4.0,0.9299,0.6972,0.7577,0.2193,0.4852,0.8007,18.7,128.0,128.0,4.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.0,10.0
acm,lp,5.0,0.9027,0.5922,0.7042,0.1472,0.3515,0.7006,33.14,128.0,128.0,4.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.0,10.0
acm,lp,6.0,0.9398,0.7145,0.773,0.2293,0.5028,0.8112,18.2,128.0,128.0,4.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.0,10.0
acm,lp,7.0,0.9351,0.7079,0.7923,0.2514,0.5038,0.8097,18.29,128.0,128.0,4.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.0,10.0
acm,lp,8.0,0.915,0.6375,0.7206,0.1537,0.3405,0.699,18.8,128.0,128.0,4.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.0,10.0
acm,lp,9.0,0.9287,0.6674,0.6594,0.1858,0.4647,0.7902,20.49,128.0,128.0,4.0,0.1,0.5,0.001,0.0001,500.0,128.0,0.0,10.0
