epoch,loss,val_macro
1,1.101243495941162,0.5657588798958554
2,1.0872673988342285,0.5606165135381278
3,1.048542857170105,0.5609109859499366
4,1.0150254964828491,0.599423673428037
5,0.947699248790741,0.6931299195623405
6,0.8909885287284851,0.7248136123136123
7,0.8098555207252502,0.7582910916244249
8,0.7081599831581116,0.7516415462662089
9,0.614099383354187,0.7654549636246989
10,0.5485060214996338,0.8877309318249131
11,0.48108571767807007,0.9234650691155081
12,0.4178145229816437,0.9438740844890748
13,0.3558282256126404,0.9507226256706928
14,0.2982198894023895,0.950535769863501
15,0.24557802081108093,0.9539444600470158
16,0.19985665380954742,0.947727587154024
17,0.15988858044147491,0.9575498575498576
18,0.12844465672969818,0.9543260357213845
19,0.10672285407781601,0.9511030340481453
20,0.0910668671131134,0.9543260357213845
21,0.08606822043657303,0.947727587154024
22,0.07382328063249588,0.941248701973001
23,0.0649813711643219,0.9317165568084835
24,0.059971194714307785,0.9352887007192802
25,0.060561325401067734,0.932046627870916
26,0.05007670447230339,0.932046627870916
27,0.045163676142692566,0.9352887007192802
28,0.044467080384492874,0.9352887007192802
29,0.04350951313972473,0.928499224698395
30,0.04038155451416969,0.928499224698395
31,0.03367812931537628,0.9417605385445192
32,0.0343121662735939,0.9449979871175523
33,0.029124705120921135,0.938520231195135
34,0.02795972302556038,0.9417191876750701
35,0.030963102355599403,0.938520231195135
36,0.026022640988230705,0.9417916562940835
37,0.024606281891465187,0.9417916562940835
38,0.022715961560606956,0.9315311515060799
39,0.02166319452226162,0.9341730469788786
40,0.0269173514097929,0.9341730469788786
41,0.023502813652157784,0.9381109665365496
42,0.01802993379533291,0.928639997069471
43,0.03606981411576271,0.9449979871175523
44,0.019831568002700806,0.9481617647058824
45,0.02302362397313118,0.9481617647058824
46,0.02336060255765915,0.9417636546876246
47,0.017748676240444183,0.9385713999651885
48,0.015041489154100418,0.9385713999651885
49,0.017796771600842476,0.9385713999651885
50,0.020109042525291443,0.9417916562940835
51,0.016792817041277885,0.9351038578408283
52,0.014366764575242996,0.931873934732609
53,0.023178670555353165,0.9351038578408283
54,0.015672197565436363,0.9344511091047266
55,0.013025789521634579,0.9273267912081927
56,0.01823362708091736,0.9276464859499477
57,0.016995443031191826,0.9344511091047266
58,0.014046860858798027,0.9316641010091585
59,0.015092924237251282,0.928639997069471
60,0.02039569430053234,0.93488905813905
61,0.01638774201273918,0.9314744956536001
62,0.015743445605039597,0.9342615550893254
63,0.015543384477496147,0.9342615550893254
64,0.016666177660226822,0.9382833182656259
65,0.012937591411173344,0.9383302225808228
66,0.014462528750300407,0.931873934732609
67,0.018815360963344574,0.9382833182656259
68,0.014416905120015144,0.9347552569022084
69,0.017651686444878578,0.9347552569022084
70,0.01386913750320673,0.9348063835632058
71,0.01418597437441349,0.9316384746271645
72,0.014620519243180752,0.9345529529405061
73,0.014547194354236126,0.9277598588071471
74,0.013642602600157261,0.9242597891103578
75,0.0135790491476655,0.9243861693861694
76,0.01442377083003521,0.9243226226286726
77,0.016188589856028557,0.9243226226286726
78,0.011626753956079483,0.9244691459437205
79,0.0173189714550972,0.9309670583195567
80,0.014281311072409153,0.9277324263038548
81,0.013041461817920208,0.9280361234504017
82,0.010790731757879257,0.9281804363973438
83,0.01360487099736929,0.9284356384287156
84,0.01997159793972969,0.9284164137024606
85,0.011933754198253155,0.9318261575401724
86,0.011123414151370525,0.9414190000882563
87,0.011828332208096981,0.9381522990839786
88,0.012157863937318325,0.9381522990839786
89,0.01444113627076149,0.9414190000882563
90,0.014018495567142963,0.928624134143614
91,0.011999018490314484,0.928624134143614
92,0.01510572899132967,0.9283332815018684
93,0.01129139680415392,0.9311198793516041
94,0.009623715654015541,0.9244985185969102
95,0.014930132776498795,0.9279300846599424
96,0.011976600624620914,0.9247389426493903
97,0.013630407862365246,0.9247389426493903
98,0.011087946593761444,0.9248400067365584
99,0.010865597054362297,0.9247389426493903
100,0.0100909024477005,0.9247389426493903
101,0.011518135666847229,0.9247389426493903
102,0.010135587304830551,0.9249687297458409
103,0.011940264143049717,0.9249687297458409
104,0.010363168083131313,0.9217771556242517
105,0.011187825351953506,0.9249687297458409
106,0.012696095742285252,0.9250572865930136
107,0.011191907338798046,0.9217771556242517
108,0.012688952498137951,0.9250572865930136
