dataset,task,macro_f1_mean,macro_f1_sd,micro_f1_mean,micro_f1_sd,accuracy_mean,accuracy_sd,auc_mean,auc_sd,n_seeds,best_hp_d,best_hp_d_prime,best_hp_K,best_hp_dropout,best_hp_dropout_gnn,best_hp_lr,best_hp_wd,best_hp_epochs,best_hp_hidden,best_hp_label_smoothing,best_hp_warmup
acm,nc,0.6064,0.0,0.6105,0.0,0.6105,0.0,0.7788,0.0,1,64,64,2,0.5,0.5,0.001,0.0001,50,64,0.0,10
acm,nc,0.5929,0.0209,0.6064,0.0199,0.6064,0.0199,0.7637,0.0119,10,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
acm,nc,0.5516,0.0092,0.5551,0.011,0.5551,0.011,0.7307,0.0097,10,128,128,5,0.5,0.5,0.001,0.0001,200,128,0.0,10
