combo_id,fold,val_macro,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
73,0,0.6552,128,32,5,0.1,0.5,0.005,0.0001,200,32,0.0,10
74,0,0.6547,128,128,1,0.1,0.1,0.005,0.0001,600,64,0.0,10
75,0,0.6517,128,64,2,0.5,0.1,0.005,0.0001,300,32,0.1,10
76,0,0.6417,128,32,5,0.5,0.1,0.001,0.0001,500,64,0.1,0
77,0,0.6428,128,64,3,0.5,0.1,0.005,0.0001,1000,64,0.0,10
78,0,0.6204,32,32,1,0.5,0.1,0.001,0.0001,400,64,0.1,0
79,0,0.6563,32,32,5,0.1,0.5,0.001,0.0001,300,64,0.1,0
80,0,0.6226,32,128,1,0.1,0.1,0.005,0.0001,1000,64,0.1,0
81,0,0.6524,32,32,3,0.5,0.5,0.005,0.0001,200,128,0.0,10
82,0,0.6318,128,32,3,0.1,0.5,0.005,0.0001,400,32,0.1,10
83,0,0.6227,64,64,3,0.1,0.5,0.001,0.0001,200,128,0.0,0
84,0,0.6499,128,128,3,0.1,0.5,0.001,0.0001,200,128,0.1,0
85,0,0.6248,32,128,3,0.5,0.5,0.001,0.0001,700,32,0.1,0
86,0,0.6326,32,32,5,0.5,0.1,0.005,0.0001,200,64,0.1,0
87,0,0.5974,32,128,1,0.1,0.5,0.005,0.0001,600,64,0.0,10
88,0,0.6526,64,128,3,0.1,0.5,0.001,0.0001,600,64,0.1,10
89,0,0.6701,64,64,6,0.5,0.5,0.005,0.0001,200,128,0.0,10
90,0,0.6441,128,64,6,0.5,0.5,0.005,0.0001,400,128,0.0,0
91,0,0.6319,128,32,6,0.5,0.5,0.005,0.0001,500,64,0.0,0
92,0,0.6432,32,32,4,0.1,0.5,0.005,0.0001,1000,128,0.0,10
93,0,0.6333,128,128,4,0.5,0.1,0.001,0.0001,300,32,0.1,0
94,0,0.6397,32,128,4,0.5,0.5,0.001,0.0001,1000,64,0.1,0
95,0,0.6509,64,128,4,0.1,0.1,0.005,0.0001,200,32,0.0,0
96,0,0.6164,64,128,5,0.5,0.5,0.001,0.0001,700,128,0.1,0
97,0,0.6273,128,32,1,0.5,0.5,0.005,0.0001,1000,64,0.1,10
98,0,0.6365,32,64,2,0.5,0.1,0.005,0.0001,600,64,0.0,10
99,0,0.6437,32,128,6,0.1,0.1,0.005,0.0001,600,128,0.0,0
