epoch,loss,val_macro
1,1.0980281829833984,0.17316017316017315
2,1.0962110757827759,0.17316017316017315
3,1.0985521078109741,0.17316017316017315
4,1.0904619693756104,0.17316017316017315
5,1.0877361297607422,0.17316017316017315
6,1.0817584991455078,0.17543859649122806
7,1.076277732849121,0.30978742650384444
8,1.0673489570617676,0.4094595661205152
9,1.0558838844299316,0.4019268670535068
10,1.0375958681106567,0.4667246299762609
11,1.0220662355422974,0.47429922323539336
12,0.9935975670814514,0.4968222030596276
13,0.9650210738182068,0.49905870967286187
14,0.9276161789894104,0.5072673513849985
15,0.9018394351005554,0.5150510980647968
16,0.860120952129364,0.528630068114355
17,0.834389865398407,0.5274982674982676
18,0.7879043221473694,0.5393125393125393
19,0.7615760564804077,0.547981120437841
20,0.7139779925346375,0.5268554955386311
21,0.6831545829772949,0.5411729887041878
22,0.6490050554275513,0.5780978491717187
23,0.6048983335494995,0.5582815155123962
24,0.5591720938682556,0.5582815155123962
25,0.5297170281410217,0.5785476996665164
26,0.49861398339271545,0.5606615606615607
27,0.49215006828308105,0.5816757082579868
28,0.4293081760406494,0.5842268373913944
29,0.4046941101551056,0.584045584045584
30,0.36869749426841736,0.5665826710602829
31,0.3570201098918915,0.5960894676820071
32,0.329642653465271,0.5807925151348377
33,0.311065673828125,0.5827606992163954
34,0.2879762351512909,0.5727756374977068
35,0.2625006139278412,0.5651577125596213
36,0.2474936544895172,0.5651577125596213
37,0.2367832511663437,0.5866057838660578
38,0.22618837654590607,0.574291620951218
39,0.19859108328819275,0.5903041138856504
40,0.1945575326681137,0.5584421017402944
41,0.18865875899791718,0.5582010582010581
42,0.16891108453273773,0.5502645502645502
43,0.16728387773036957,0.553475216766356
44,0.16654610633850098,0.5661615396504049
45,0.14851079881191254,0.5688679661282401
46,0.14511354267597198,0.5688679661282401
47,0.1338767260313034,0.5690885690885691
48,0.13860435783863068,0.5688679661282401
49,0.13762861490249634,0.5579365079365078
50,0.13413269817829132,0.5476701522656393
1,1.1057673692703247,0.16335540838852097
2,1.0976389646530151,0.16335540838852097
3,1.0936729907989502,0.16335540838852097
4,1.0859688520431519,0.18070460704607047
5,1.0799968242645264,0.2407565011820331
6,1.0702595710754395,0.32018849206349204
7,1.063647747039795,0.37879499217527385
8,1.0555846691131592,0.40750750750750747
9,1.047061562538147,0.461880185653101
10,1.0391887426376343,0.5147891634495356
11,1.0265426635742188,0.5101275799221713
12,1.0173577070236206,0.5073310792396565
13,1.0040066242218018,0.542917532917533
14,0.9872954487800598,0.5555555555555555
15,0.9770729541778564,0.5542633542633543
16,0.9616326689720154,0.5542633542633543
17,0.94591224193573,0.5483716642746291
18,0.9292675852775574,0.5347113204256062
19,0.9121795892715454,0.5484328517239909
20,0.8947963118553162,0.5343752690949798
21,0.8672755360603333,0.5412457912457912
22,0.8556193113327026,0.5412457912457912
23,0.847119927406311,0.5277777777777778
24,0.8135213851928711,0.5277777777777778
25,0.7974884510040283,0.5277777777777778
26,0.7789378762245178,0.520769826918109
27,0.7591587901115417,0.520769826918109
28,0.7303346991539001,0.5194444444444445
29,0.7047489881515503,0.5215419501133787
30,0.6840471625328064,0.5215419501133787
31,0.6454596519470215,0.5215419501133787
32,0.622839629650116,0.5215419501133787
33,0.6052407622337341,0.49970605526161077
34,0.5796927809715271,0.5213924337385789
35,0.5334582924842834,0.520737585287829
36,0.5058664083480835,0.5393018453994064
37,0.4811137616634369,0.519370410936676
38,0.45475128293037415,0.519370410936676
39,0.4265982508659363,0.5265238826214436
40,0.3974817991256714,0.5634738186462324
41,0.3737170696258545,0.5461408475431782
42,0.35038644075393677,0.53000055999552
43,0.3187374174594879,0.53000055999552
44,0.2871688902378082,0.5490929234178091
45,0.2638983428478241,0.5490929234178091
46,0.251785546541214,0.5418710711984714
47,0.23057042062282562,0.5390206436626578
48,0.19757814705371857,0.5395793089659363
49,0.18805208802223206,0.5347513016506037
50,0.16761678457260132,0.5445713239745991
