dataset,task,auc_mean,auc_sd,ap_mean,ap_sd,macro_f1_mean,macro_f1_sd,hits@1_mean,hits@3_mean,hits@10_mean,hits@1_sd,hits@3_sd,hits@10_sd,n_seeds,best_hp_d,best_hp_d_prime,best_hp_K,best_hp_dropout,best_hp_dropout_gnn,best_hp_lr,best_hp_wd,best_hp_epochs,best_hp_hidden,best_hp_label_smoothing,best_hp_warmup
amazon,lp,0.8791,0.0216,0.6101,0.0489,0.6721,0.0651,0.2268,0.4096,0.7036,0.0259,0.0391,0.0417,10,128,32,5,0.1,0.5,0.001,0.0001,300,128,0.0,10
amazon,lp,0.9021,0.0226,0.6756,0.0413,0.7331,0.0257,0.2538,0.431,0.7212,0.0354,0.0608,0.0542,2,128,32,2,0.1,0.5,0.001,0.0001,400,64,0.1,0
