epoch,loss,val_auc
1,0.69580078125,0.5750055558220674
5,0.61962890625,0.7537880266464805
10,0.48193359375,0.8625643619179417
15,0.35595703125,0.903686008646365
20,0.2481689453125,0.9182560231437027
25,0.16455078125,0.9252267235610601
30,0.106689453125,0.9271199311152867
35,0.0667724609375,0.9243609194710708
40,0.0435791015625,0.9106709543443634
45,0.02777099609375,0.901607583172681
50,0.0187835693359375,0.8958337465169394
55,0.01316070556640625,0.8893684641034375
60,0.00983428955078125,0.8814248240276903
65,0.0080413818359375,0.8818490049037263
70,0.00627899169921875,0.878109488641584
75,0.00511932373046875,0.879675048236374
80,0.004329681396484375,0.8819507838563243
1,0.69580078125,0.5651241542880978
5,0.61962890625,0.761898466599614
10,0.482421875,0.8638747423531219
15,0.359130859375,0.9008238390543475
20,0.254638671875,0.9155755621885371
25,0.17138671875,0.9224310417024087
30,0.11175537109375,0.9255749133452749
35,0.06976318359375,0.9242279927895464
40,0.04498291015625,0.9169835520672324
45,0.028961181640625,0.9042987736211877
50,0.0194854736328125,0.89740079243439
55,0.013519287109375,0.8871952749900193
60,0.0101776123046875,0.8822543807083774
65,0.008056640625,0.8814524787357476
70,0.00641632080078125,0.8777605313034351
75,0.00514984130859375,0.8784757907472348
80,0.004322052001953125,0.8785654709683296
