combo_id,fold,val_nmi,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_cl_loss,hp_cl_temp
14,0,0.0889,128,5,0.3,0.005,0.001,100,128,contrastive,0.1
14,1,0.1279,128,5,0.3,0.005,0.001,100,128,contrastive,0.1
14,2,0.1206,128,5,0.3,0.005,0.001,100,128,contrastive,0.1
14,3,0.1301,128,5,0.3,0.005,0.001,100,128,contrastive,0.1
14,4,0.0965,128,5,0.3,0.005,0.001,100,128,contrastive,0.1
15,0,0.2037,128,6,0.5,0.005,0.001,100,128,reconstruction,0.1
15,1,0.0873,128,6,0.5,0.005,0.001,100,128,reconstruction,0.1
15,2,0.104,128,6,0.5,0.005,0.001,100,128,reconstruction,0.1
15,3,0.1537,128,6,0.5,0.005,0.001,100,128,reconstruction,0.1
15,4,0.0168,128,6,0.5,0.005,0.001,100,128,reconstruction,0.1
16,0,0.0418,256,4,0.3,0.005,0.0001,300,64,reconstruction,0.1
16,1,0.0795,256,4,0.3,0.005,0.0001,300,64,reconstruction,0.1
16,2,0.0948,256,4,0.3,0.005,0.0001,300,64,reconstruction,0.1
16,3,0.1544,256,4,0.3,0.005,0.0001,300,64,reconstruction,0.1
16,4,0.1579,256,4,0.3,0.005,0.0001,300,64,reconstruction,0.1
17,0,0.059,128,5,0.3,0.005,0.0001,700,128,contrastive,0.1
17,1,0.1076,128,5,0.3,0.005,0.0001,700,128,contrastive,0.1
17,2,0.0357,128,5,0.3,0.005,0.0001,700,128,contrastive,0.1
17,3,0.0852,128,5,0.3,0.005,0.0001,700,128,contrastive,0.1
17,4,0.0315,128,5,0.3,0.005,0.0001,700,128,contrastive,0.1
18,0,0.1552,256,2,0.5,0.001,0.001,100,128,reconstruction,0.5
18,1,0.1188,256,2,0.5,0.001,0.001,100,128,reconstruction,0.5
18,2,0.2261,256,2,0.5,0.001,0.001,100,128,reconstruction,0.5
18,3,0.0789,256,2,0.5,0.001,0.001,100,128,reconstruction,0.5
18,4,0.0864,256,2,0.5,0.001,0.001,100,128,reconstruction,0.5
19,0,0.1766,256,6,0.3,0.005,0.0001,500,128,contrastive,0.5
19,1,0.1245,256,6,0.3,0.005,0.0001,500,128,contrastive,0.5
19,2,0.1429,256,6,0.3,0.005,0.0001,500,128,contrastive,0.5
19,3,0.1113,256,6,0.3,0.005,0.0001,500,128,contrastive,0.5
19,4,0.1374,256,6,0.3,0.005,0.0001,500,128,contrastive,0.5
20,0,0.1935,256,3,0.5,0.005,0.001,300,128,reconstruction,0.5
20,1,0.1157,256,3,0.5,0.005,0.001,300,128,reconstruction,0.5
20,2,0.1307,256,3,0.5,0.005,0.001,300,128,reconstruction,0.5
20,3,0.1085,256,3,0.5,0.005,0.001,300,128,reconstruction,0.5
20,4,0.1119,256,3,0.5,0.005,0.001,300,128,reconstruction,0.5
21,0,0.2165,256,3,0.3,0.001,0.0001,100,128,reconstruction,0.1
21,1,0.1239,256,3,0.3,0.001,0.0001,100,128,reconstruction,0.1
21,2,0.0748,256,3,0.3,0.001,0.0001,100,128,reconstruction,0.1
21,3,0.1564,256,3,0.3,0.001,0.0001,100,128,reconstruction,0.1
21,4,0.2325,256,3,0.3,0.001,0.0001,100,128,reconstruction,0.1
22,0,0.0851,128,5,0.3,0.005,0.001,300,128,contrastive,0.5
22,1,0.0738,128,5,0.3,0.005,0.001,300,128,contrastive,0.5
22,2,0.0418,128,5,0.3,0.005,0.001,300,128,contrastive,0.5
22,3,0.0948,128,5,0.3,0.005,0.001,300,128,contrastive,0.5
22,4,0.0642,128,5,0.3,0.005,0.001,300,128,contrastive,0.5
23,0,0.1802,128,3,0.3,0.001,0.0001,500,64,contrastive,0.5
23,1,0.0713,128,3,0.3,0.001,0.0001,500,64,contrastive,0.5
23,2,0.0817,128,3,0.3,0.001,0.0001,500,64,contrastive,0.5
23,3,0.0458,128,3,0.3,0.001,0.0001,500,64,contrastive,0.5
23,4,0.0376,128,3,0.3,0.001,0.0001,500,64,contrastive,0.5
24,0,0.0153,128,5,0.3,0.005,0.0001,100,64,reconstruction,0.1
24,1,0.0766,128,5,0.3,0.005,0.0001,100,64,reconstruction,0.1
24,2,0.1056,128,5,0.3,0.005,0.0001,100,64,reconstruction,0.1
24,3,0.1153,128,5,0.3,0.005,0.0001,100,64,reconstruction,0.1
24,4,0.107,128,5,0.3,0.005,0.0001,100,64,reconstruction,0.1
25,0,0.0185,64,4,0.3,0.001,0.001,700,128,reconstruction,0.5
25,1,0.0322,64,4,0.3,0.001,0.001,700,128,reconstruction,0.5
25,2,0.0195,64,4,0.3,0.001,0.001,700,128,reconstruction,0.5
25,3,0.1391,64,4,0.3,0.001,0.001,700,128,reconstruction,0.5
25,4,0.1132,64,4,0.3,0.001,0.001,700,128,reconstruction,0.5
26,0,0.1802,256,5,0.5,0.001,0.0001,300,128,reconstruction,0.5
26,1,0.1491,256,5,0.5,0.001,0.0001,300,128,reconstruction,0.5
26,2,0.2029,256,5,0.5,0.001,0.0001,300,128,reconstruction,0.5
26,3,0.0664,256,5,0.5,0.001,0.0001,300,128,reconstruction,0.5
26,4,0.1241,256,5,0.5,0.001,0.0001,300,128,reconstruction,0.5
27,0,0.0787,256,4,0.3,0.005,0.0001,700,64,contrastive,0.1
27,1,0.0838,256,4,0.3,0.005,0.0001,700,64,contrastive,0.1
27,2,0.0942,256,4,0.3,0.005,0.0001,700,64,contrastive,0.1
27,3,0.0799,256,4,0.3,0.005,0.0001,700,64,contrastive,0.1
27,4,0.1245,256,4,0.3,0.005,0.0001,700,64,contrastive,0.1
28,0,0.1479,256,2,0.5,0.005,0.001,500,128,contrastive,0.5
28,1,0.1342,256,2,0.5,0.005,0.001,500,128,contrastive,0.5
28,2,0.1222,256,2,0.5,0.005,0.001,500,128,contrastive,0.5
28,3,0.1251,256,2,0.5,0.005,0.001,500,128,contrastive,0.5
28,4,0.1861,256,2,0.5,0.005,0.001,500,128,contrastive,0.5
29,0,0.0647,128,4,0.5,0.001,0.0001,300,64,reconstruction,0.1
29,1,0.0859,128,4,0.5,0.001,0.0001,300,64,reconstruction,0.1
29,2,0.0545,128,4,0.5,0.001,0.0001,300,64,reconstruction,0.1
29,3,0.0848,128,4,0.5,0.001,0.0001,300,64,reconstruction,0.1
29,4,0.0094,128,4,0.5,0.001,0.0001,300,64,reconstruction,0.1
30,0,0.1624,64,4,0.5,0.001,0.0001,700,128,reconstruction,0.1
30,1,0.0923,64,4,0.5,0.001,0.0001,700,128,reconstruction,0.1
30,2,0.0732,64,4,0.5,0.001,0.0001,700,128,reconstruction,0.1
30,3,0.0378,64,4,0.5,0.001,0.0001,700,128,reconstruction,0.1
30,4,0.0377,64,4,0.5,0.001,0.0001,700,128,reconstruction,0.1
31,0,0.0761,128,5,0.5,0.001,0.001,500,128,reconstruction,0.5
31,1,0.1031,128,5,0.5,0.001,0.001,500,128,reconstruction,0.5
31,2,0.1208,128,5,0.5,0.001,0.001,500,128,reconstruction,0.5
31,3,0.1698,128,5,0.5,0.001,0.001,500,128,reconstruction,0.5
31,4,0.1467,128,5,0.5,0.001,0.001,500,128,reconstruction,0.5
32,0,0.0074,128,2,0.5,0.005,0.0001,700,128,contrastive,0.5
32,1,0.1349,128,2,0.5,0.005,0.0001,700,128,contrastive,0.5
32,2,0.1161,128,2,0.5,0.005,0.0001,700,128,contrastive,0.5
32,3,0.0869,128,2,0.5,0.005,0.0001,700,128,contrastive,0.5
32,4,0.1907,128,2,0.5,0.005,0.0001,700,128,contrastive,0.5
33,0,0.0757,128,4,0.5,0.001,0.001,700,128,contrastive,0.1
33,1,0.0872,128,4,0.5,0.001,0.001,700,128,contrastive,0.1
33,2,0.0299,128,4,0.5,0.001,0.001,700,128,contrastive,0.1
33,3,0.0375,128,4,0.5,0.001,0.001,700,128,contrastive,0.1
33,4,0.1151,128,4,0.5,0.001,0.001,700,128,contrastive,0.1
34,0,0.0875,64,3,0.3,0.005,0.001,100,64,reconstruction,0.1
34,1,0.0086,64,3,0.3,0.005,0.001,100,64,reconstruction,0.1
34,2,0.0757,64,3,0.3,0.005,0.001,100,64,reconstruction,0.1
34,3,0.0551,64,3,0.3,0.005,0.001,100,64,reconstruction,0.1
34,4,0.0574,64,3,0.3,0.005,0.001,100,64,reconstruction,0.1
35,0,0.1106,256,2,0.3,0.005,0.0001,300,128,contrastive,0.5
35,1,0.1754,256,2,0.3,0.005,0.0001,300,128,contrastive,0.5
35,2,0.1174,256,2,0.3,0.005,0.0001,300,128,contrastive,0.5
35,3,0.2139,256,2,0.3,0.005,0.0001,300,128,contrastive,0.5
35,4,0.0678,256,2,0.3,0.005,0.0001,300,128,contrastive,0.5
36,0,0.0099,128,2,0.3,0.005,0.001,700,64,contrastive,0.5
36,1,0.0448,128,2,0.3,0.005,0.001,700,64,contrastive,0.5
36,2,0.1975,128,2,0.3,0.005,0.001,700,64,contrastive,0.5
36,3,0.0868,128,2,0.3,0.005,0.001,700,64,contrastive,0.5
36,4,0.1301,128,2,0.3,0.005,0.001,700,64,contrastive,0.5
37,0,0.0468,256,2,0.5,0.001,0.001,500,64,reconstruction,0.5
37,1,0.062,256,2,0.5,0.001,0.001,500,64,reconstruction,0.5
37,2,0.1568,256,2,0.5,0.001,0.001,500,64,reconstruction,0.5
37,3,0.0913,256,2,0.5,0.001,0.001,500,64,reconstruction,0.5
37,4,0.1058,256,2,0.5,0.001,0.001,500,64,reconstruction,0.5
38,0,0.017,128,3,0.3,0.001,0.001,700,128,reconstruction,0.1
38,1,0.1679,128,3,0.3,0.001,0.001,700,128,reconstruction,0.1
38,2,0.0453,128,3,0.3,0.001,0.001,700,128,reconstruction,0.1
38,3,0.1137,128,3,0.3,0.001,0.001,700,128,reconstruction,0.1
38,4,0.1717,128,3,0.3,0.001,0.001,700,128,reconstruction,0.1
39,0,0.1976,256,3,0.3,0.005,0.001,100,128,reconstruction,0.1
39,1,0.1461,256,3,0.3,0.005,0.001,100,128,reconstruction,0.1
39,2,0.2086,256,3,0.3,0.005,0.001,100,128,reconstruction,0.1
39,3,0.1782,256,3,0.3,0.005,0.001,100,128,reconstruction,0.1
39,4,0.1968,256,3,0.3,0.005,0.001,100,128,reconstruction,0.1
40,0,0.1508,256,5,0.5,0.001,0.0001,500,128,contrastive,0.5
40,1,0.1983,256,5,0.5,0.001,0.0001,500,128,contrastive,0.5
40,2,0.0657,256,5,0.5,0.001,0.0001,500,128,contrastive,0.5
40,3,0.1775,256,5,0.5,0.001,0.0001,500,128,contrastive,0.5
40,4,0.3261,256,5,0.5,0.001,0.0001,500,128,contrastive,0.5
41,0,0.1213,256,6,0.5,0.005,0.001,500,128,reconstruction,0.5
41,1,0.1056,256,6,0.5,0.005,0.001,500,128,reconstruction,0.5
41,2,0.0949,256,6,0.5,0.005,0.001,500,128,reconstruction,0.5
41,3,0.1213,256,6,0.5,0.005,0.001,500,128,reconstruction,0.5
41,4,0.1063,256,6,0.5,0.005,0.001,500,128,reconstruction,0.5
