combo_id,fold,val_macro,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
14,4,0.6803,256,128,4,0.5,0.1,0.005,0.0001,500,64,0.1,10
15,0,0.711,256,256,2,0.5,0.5,0.001,0.0001,500,32,0.1,10
15,1,0.6908,256,256,2,0.5,0.5,0.001,0.0001,500,32,0.1,10
15,2,0.6922,256,256,2,0.5,0.5,0.001,0.0001,500,32,0.1,10
15,3,0.675,256,256,2,0.5,0.5,0.001,0.0001,500,32,0.1,10
15,4,0.6816,256,256,2,0.5,0.5,0.001,0.0001,500,32,0.1,10
16,0,0.7033,128,128,3,0.5,0.1,0.001,0.0001,500,32,0.0,0
16,1,0.6712,128,128,3,0.5,0.1,0.001,0.0001,500,32,0.0,0
16,2,0.6881,128,128,3,0.5,0.1,0.001,0.0001,500,32,0.0,0
16,3,0.6636,128,128,3,0.5,0.1,0.001,0.0001,500,32,0.0,0
16,4,0.6857,128,128,3,0.5,0.1,0.001,0.0001,500,32,0.0,0
17,0,0.7057,256,128,2,0.5,0.1,0.001,0.0001,500,64,0.0,0
17,1,0.6973,256,128,2,0.5,0.1,0.001,0.0001,500,64,0.0,0
17,2,0.7067,256,128,2,0.5,0.1,0.001,0.0001,500,64,0.0,0
17,3,0.6604,256,128,2,0.5,0.1,0.001,0.0001,500,64,0.0,0
17,4,0.6811,256,128,2,0.5,0.1,0.001,0.0001,500,64,0.0,0
18,0,0.711,256,128,3,0.1,0.5,0.001,0.0001,500,32,0.0,10
18,1,0.7038,256,128,3,0.1,0.5,0.001,0.0001,500,32,0.0,10
18,2,0.6854,256,128,3,0.1,0.5,0.001,0.0001,500,32,0.0,10
18,3,0.6734,256,128,3,0.1,0.5,0.001,0.0001,500,32,0.0,10
18,4,0.6929,256,128,3,0.1,0.5,0.001,0.0001,500,32,0.0,10
19,0,0.6834,128,256,4,0.1,0.5,0.005,0.0001,500,64,0.0,0
19,1,0.6738,128,256,4,0.1,0.5,0.005,0.0001,500,64,0.0,0
19,2,0.6826,128,256,4,0.1,0.5,0.005,0.0001,500,64,0.0,0
19,3,0.677,128,256,4,0.1,0.5,0.005,0.0001,500,64,0.0,0
19,4,0.6803,128,256,4,0.1,0.5,0.005,0.0001,500,64,0.0,0
20,0,0.7188,128,128,2,0.1,0.1,0.001,0.0001,500,32,0.1,0
20,1,0.687,128,128,2,0.1,0.1,0.001,0.0001,500,32,0.1,0
20,2,0.6767,128,128,2,0.1,0.1,0.001,0.0001,500,32,0.1,0
20,3,0.6726,128,128,2,0.1,0.1,0.001,0.0001,500,32,0.1,0
20,4,0.6786,128,128,2,0.1,0.1,0.001,0.0001,500,32,0.1,0
21,0,0.7036,128,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
21,1,0.6837,128,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
21,2,0.6978,128,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
21,3,0.6751,128,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
21,4,0.6821,128,128,2,0.1,0.5,0.001,0.0001,500,128,0.0,0
22,0,0.7091,256,256,2,0.5,0.1,0.001,0.0001,500,32,0.1,10
22,1,0.6997,256,256,2,0.5,0.1,0.001,0.0001,500,32,0.1,10
22,2,0.6905,256,256,2,0.5,0.1,0.001,0.0001,500,32,0.1,10
