epoch,loss,train_acc
1,1.38545560836792,0.328989080662205
2,1.3633166551589966,0.519196900317013
3,1.3580809831619263,0.5206058471292708
4,1.347349762916565,0.5572384642479746
5,1.3228790760040283,0.5801338499471645
6,1.3201991319656372,0.6724198661500528
7,1.2745087146759033,0.7132793237055302
8,1.2458311319351196,0.7182106375484325
9,1.198575496673584,0.7611835153222966
10,1.141143798828125,0.7812610073969708
11,1.0836416482925415,0.7798520605847129
12,1.0037347078323364,0.7802042972877774
13,0.9655643105506897,0.8048608665022895
14,0.8891139626502991,0.8196548080309969
15,0.798865556716919,0.8569918985558295
16,0.716493546962738,0.8943289890806622
17,0.6668167114257812,0.9200422684043678
18,0.5560959577560425,0.9408242338851708
19,0.4998181164264679,0.9605494892567805
20,0.4190552234649658,0.9749911940824234
21,0.3556821048259735,0.9792180345191969
22,0.32560157775878906,0.9809792180345192
23,0.26223430037498474,0.9834448749559704
24,0.20294781029224396,0.9841493483620993
25,0.18837988376617432,0.9887284255019373
26,0.161878302693367,0.9862627685804861
27,0.12601053714752197,0.9852060584712927
28,0.10676570981740952,0.9876717153927439
29,0.09209773689508438,0.991546319126453
30,0.08199483156204224,0.9933075026417753
31,0.06962966918945312,0.9943642127509686
32,0.06565703451633453,0.9943642127509686
33,0.05765023082494736,0.9943642127509686
34,0.051397599279880524,0.9961253962662909
35,0.04611063003540039,0.9968298696724198
36,0.03718926012516022,0.9968298696724198
37,0.0352284274995327,0.9971821063754843
38,0.027415426447987556,0.9968298696724198
39,0.031092703342437744,0.9971821063754843
40,0.026665642857551575,0.9971821063754843
41,0.02506665699183941,0.9978865797816132
42,0.023271851241588593,0.9982388164846777
43,0.022460471838712692,0.9975343430785488
44,0.017512347549200058,0.9982388164846777
45,0.020227210596203804,0.9982388164846777
46,0.01866472326219082,0.9985910531877422
47,0.0139975780621171,0.9985910531877422
48,0.014509529806673527,0.9985910531877422
49,0.01727830246090889,0.9982388164846777
50,0.013825067318975925,0.9982388164846777
51,0.01780872792005539,0.9982388164846777
