epoch,loss,val_auc
1,0.6953125,0.5120578702395086
2,0.6943359375,0.6055064038542471
3,0.68896484375,0.6418731666258378
4,0.6806640625,0.6713737664964415
5,0.66650390625,0.708596836703287
6,0.64306640625,0.7348721113560844
7,0.60546875,0.7140225249841395
8,0.5595703125,0.7709040772356957
9,0.49462890625,0.8279615077794737
10,0.440185546875,0.865862023479752
11,0.37890625,0.8782798160815574
12,0.3173828125,0.8801986168428592
13,0.2734375,0.8861032594016369
14,0.23046875,0.879249031099051
15,0.195556640625,0.8966658500888813
16,0.162841796875,0.8910883097467982
17,0.137451171875,0.8775971884598714
18,0.11480712890625,0.8862639053774788
19,0.0968017578125,0.8876707746810635
20,0.07745361328125,0.8779935427541283
21,0.06304931640625,0.875274338729028
22,0.052978515625,0.8811229200821603
23,0.045806884765625,0.8882664053617755
24,0.036865234375,0.8855095131311989
25,0.0301055908203125,0.8749247806232373
26,0.025543212890625,0.8714313980439822
27,0.019317626953125,0.8752287988140778
28,0.017913818359375,0.8806651654198153
29,0.0152587890625,0.8836065728230351
30,0.01219940185546875,0.8839149879711812
31,0.01177978515625,0.8832092763236412
32,0.00951385498046875,0.8811558972619518
33,0.00737762451171875,0.8817799511309602
34,0.006988525390625,0.8836017047631611
35,0.005706787109375,0.8840136054421769
36,0.00592803955078125,0.883461473231952
37,0.004627227783203125,0.8826599707288271
38,0.0043792724609375,0.8818964704995572
39,0.0039215087890625,0.8809087254477045
40,0.00391387939453125,0.8785734700158919
41,0.00345611572265625,0.8772133969007732
42,0.003108978271484375,0.8766132122285663
43,0.003253936767578125,0.8754065615165734
44,0.0032825469970703125,0.8750277950515386
45,0.002559661865234375,0.8743892940370976
46,0.002422332763671875,0.8726507685253232
47,0.0022754669189453125,0.8710520034421895
48,0.00232696533203125,0.869694599908292
49,0.002048492431640625,0.8683084591177193
50,0.0018720626831054688,0.8669961243962037
51,0.0019140243530273438,0.8660488941652377
52,0.0018777847290039062,0.8654116494243126
53,0.0016851425170898438,0.8657266600084171
54,0.0017938613891601562,0.8671665064917935
55,0.0017671585083007812,0.869419633042506
56,0.0015163421630859375,0.8717446812520022
57,0.0016050338745117188,0.8733311976683563
58,0.0016603469848632812,0.8741614374281568
59,0.0014925003051757812,0.8738461127756736
60,0.0016078948974609375,0.8722264621453383
61,0.0015096664428710938,0.8702354256568741
62,0.001739501953125,0.8678723751735227
63,0.0013561248779296875,0.8661908530725309
64,0.0015401840209960938,0.8654281380142084
65,0.001583099365234375,0.8658786691038375
66,0.0015478134155273438,0.8670228202084157
67,0.0013065338134765625,0.8683329564512784
68,0.00127410888671875,0.8688403339175006
69,0.0015134811401367188,0.8683620077763329
70,0.0014190673828125,0.8675305117430167
71,0.00130462646484375,0.8669223183271461
72,0.001495361328125,0.8654381882023354
73,0.0015077590942382812,0.8626819241085169
74,0.0015077590942382812,0.8607072191757588
75,0.0016193389892578125,0.8605112405072833
76,0.0016107559204101562,0.8608564016557685
77,0.0014944076538085938,0.8627485066048579
78,0.0014476776123046875,0.863791841759788
79,0.0016183853149414062,0.8645652351429953
80,0.0014562606811523438,0.8657376524016808
81,0.00138092041015625,0.8659411687112517
82,0.0014190673828125,0.8667379601886923
83,0.00151824951171875,0.8663367378345612
84,0.0017185211181640625,0.866427817664462
85,0.0016613006591796875,0.8658499318471617
86,0.0015382766723632812,0.8658287322315814
87,0.0016632080078125,0.8652926175086839
88,0.0016393661499023438,0.8663109842274862
89,0.0016775131225585938,0.8667046689405218
90,0.00153350830078125,0.8686360324369823
91,0.0015964508056640625,0.8671795403295207
92,0.0015163421630859375,0.86541855892865
93,0.0018339157104492188,0.8651520719090959
94,0.001590728759765625,0.8648935936332058
95,0.0016908645629882812,0.8644100853637853
96,0.001739501953125,0.8620611679574878
97,0.001598358154296875,0.8614773148409872
98,0.0017032623291015625,0.8622720648739642
99,0.001926422119140625,0.8635836144245326
100,0.0015707015991210938,0.8646745309388759
101,0.0016546249389648438,0.864143755378421
102,0.0016632080078125,0.8635463973216249
103,0.00193023681640625,0.8636830170664758
104,0.001621246337890625,0.8648532358465085
105,0.0016222000122070312,0.8654201292705447
106,0.0018453598022460938,0.8605407629349061
107,0.0016231536865234375,0.8526519933920013
108,0.0019817352294921875,0.8542625360393463
109,0.0018205642700195312,0.8570398427145558
110,0.001861572265625,0.8583039679398998
111,0.001590728759765625,0.8597069113887477
112,0.0017156600952148438,0.8595750026695812
113,0.0017175674438476562,0.857598884429118
114,0.0017843246459960938,0.8576733186349332
115,0.0017709732055664062,0.8603959774122023
