epoch,bpr_loss
1,0.694888
2,0.657286
3,0.556999
4,0.463226
5,0.44593
6,0.4159
7,0.394353
8,0.396346
9,0.384804
10,0.370886
11,0.358604
12,0.348767
13,0.341292
14,0.341707
15,0.333413
16,0.325879
17,0.319789
18,0.316478
19,0.313586
20,0.308116
21,0.306104
22,0.29969
23,0.29655
24,0.289447
25,0.285677
26,0.281866
27,0.277926
28,0.27029
29,0.26813
30,0.265693
31,0.260443
32,0.258723
33,0.256484
34,0.255737
35,0.254538
36,0.249762
37,0.249261
38,0.244563
39,0.240122
40,0.241303
41,0.236859
42,0.234706
43,0.234395
44,0.230725
45,0.228179
46,0.224915
47,0.223769
48,0.222608
49,0.219746
50,0.218274
51,0.219632
52,0.212828
53,0.211967
54,0.212667
55,0.21092
56,0.207739
57,0.206035
58,0.205186
59,0.203179
60,0.200703
61,0.19792
62,0.197243
63,0.195559
64,0.193382
65,0.192165
66,0.189883
67,0.186127
68,0.185363
69,0.182889
70,0.184955
71,0.180723
72,0.181273
73,0.176721
74,0.180041
75,0.176308
76,0.17697
77,0.173912
78,0.169121
79,0.168557
80,0.168818
81,0.166055
82,0.167672
83,0.164278
84,0.162675
85,0.163173
86,0.161234
87,0.157822
88,0.156722
89,0.158408
90,0.154051
91,0.15497
92,0.150814
93,0.151699
94,0.149289
95,0.149144
96,0.14468
97,0.145508
98,0.145389
99,0.144487
100,0.143512
101,0.143264
102,0.144811
103,0.139301
104,0.142067
105,0.138156
106,0.140009
107,0.134847
108,0.136444
109,0.135127
110,0.133387
111,0.131794
112,0.131131
113,0.132179
114,0.130025
115,0.129964
116,0.128641
117,0.127248
118,0.127476
119,0.124023
120,0.124164
121,0.123415
122,0.122515
123,0.12364
124,0.12277
125,0.119907
126,0.119139
127,0.119793
128,0.117303
129,0.11905
130,0.118703
131,0.116627
132,0.117844
133,0.117136
134,0.115343
135,0.116047
136,0.114601
137,0.113907
138,0.115263
139,0.116533
140,0.115144
141,0.112353
142,0.110673
143,0.113197
144,0.110034
145,0.108577
146,0.112197
147,0.107869
148,0.110193
149,0.106448
150,0.106466
151,0.107581
152,0.109394
153,0.108479
154,0.107989
155,0.105294
156,0.104604
157,0.106312
158,0.105332
159,0.10401
160,0.104351
161,0.103542
162,0.100674
163,0.103861
164,0.102499
