epoch,loss,val_auc
1,0.69482421875,0.6486966787843702
5,0.62841796875,0.7893151939090042
10,0.499755859375,0.847509240324877
15,0.378173828125,0.8545825522957098
20,0.265380859375,0.863376050203231
25,0.1824951171875,0.8769324479360199
30,0.117919921875,0.8767721267342126
35,0.07366943359375,0.8609419220233503
40,0.0478515625,0.8485493149337213
45,0.029541015625,0.8415592565459585
50,0.0199127197265625,0.8405076361046312
55,0.0133056640625,0.8514287122087422
60,0.00957489013671875,0.8421148355003452
65,0.0074310302734375,0.8456096061326258
70,0.005901336669921875,0.8335563619569699
75,0.0051422119140625,0.8402306792283157
