dataset,task,seed,test_auc,test_ap,test_macro_f1,hits@1,hits@3,hits@10,time_sec,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
lastfm,lp,0.0,0.8105,0.6124,0.6812,0.2772,0.451,0.6214,9.61,128.0,64.0,6.0,0.5,0.5,0.005,0.0001,400.0,128.0,0.0,0.0
lastfm,lp,1.0,0.8211,0.606,0.7301,0.2607,0.3813,0.5684,9.39,128.0,64.0,6.0,0.5,0.5,0.005,0.0001,400.0,128.0,0.0,0.0
lastfm,lp,2.0,0.8168,0.6321,0.7511,0.2904,0.444,0.6142,9.31,128.0,64.0,6.0,0.5,0.5,0.005,0.0001,400.0,128.0,0.0,0.0
lastfm,lp,3.0,0.8041,0.5808,0.6088,0.2582,0.4081,0.5452,9.56,128.0,64.0,6.0,0.5,0.5,0.005,0.0001,400.0,128.0,0.0,0.0
lastfm,lp,4.0,0.7914,0.5485,0.7022,0.2097,0.3439,0.5545,9.48,128.0,64.0,6.0,0.5,0.5,0.005,0.0001,400.0,128.0,0.0,0.0
lastfm,lp,5.0,0.7801,0.5671,0.7085,0.2397,0.3755,0.5304,9.29,128.0,64.0,6.0,0.5,0.5,0.005,0.0001,400.0,128.0,0.0,0.0
lastfm,lp,6.0,0.8086,0.6219,0.5131,0.2664,0.437,0.6038,9.31,128.0,64.0,6.0,0.5,0.5,0.005,0.0001,400.0,128.0,0.0,0.0
lastfm,lp,7.0,0.7948,0.5854,0.6719,0.25,0.416,0.5964,9.36,128.0,64.0,6.0,0.5,0.5,0.005,0.0001,400.0,128.0,0.0,0.0
lastfm,lp,8.0,0.8184,0.6231,0.729,0.2742,0.4531,0.6154,9.37,128.0,64.0,6.0,0.5,0.5,0.005,0.0001,400.0,128.0,0.0,0.0
lastfm,lp,9.0,0.81,0.6133,0.6941,0.271,0.429,0.5902,9.31,128.0,64.0,6.0,0.5,0.5,0.005,0.0001,400.0,128.0,0.0,0.0
lastfm,lp,0.0,0.8292,0.6406,0.3992,0.7586,0.2794,0.4547,0.6161,8.81,128.0,64.0,5.0,0.1,0.1,0.005,0.0001,200.0,64.0,0.1,0.0
lastfm,lp,1.0,0.8311,0.6361,0.3951,0.7417,0.2772,0.4441,0.6225,7.86,128.0,64.0,5.0,0.1,0.1,0.005,0.0001,200.0,64.0,0.1,0.0
lastfm,lp,2.0,0.829,0.6457,0.4187,0.6708,0.2906,0.4791,0.6629,7.75,128.0,64.0,5.0,0.1,0.1,0.005,0.0001,200.0,64.0,0.1,0.0
lastfm,lp,3.0,0.8106,0.622,0.3838,0.7459,0.2685,0.4311,0.6058,8.62,128.0,64.0,5.0,0.1,0.1,0.005,0.0001,200.0,64.0,0.1,0.0
lastfm,lp,4.0,0.8122,0.6209,0.3817,0.6831,0.2633,0.4327,0.6045,8.0,128.0,64.0,5.0,0.1,0.1,0.005,0.0001,200.0,64.0,0.1,0.0
lastfm,lp,5.0,0.8103,0.6185,0.383,0.6054,0.2623,0.4345,0.6117,8.0,128.0,64.0,5.0,0.1,0.1,0.005,0.0001,200.0,64.0,0.1,0.0
lastfm,lp,6.0,0.817,0.6301,0.3907,0.7574,0.2702,0.4409,0.6264,8.55,128.0,64.0,5.0,0.1,0.1,0.005,0.0001,200.0,64.0,0.1,0.0
lastfm,lp,7.0,0.8099,0.5923,0.3391,0.6389,0.2335,0.3639,0.559,7.85,128.0,64.0,5.0,0.1,0.1,0.005,0.0001,200.0,64.0,0.1,0.0
lastfm,lp,8.0,0.8088,0.6203,0.3837,0.6639,0.2606,0.4377,0.6166,7.84,128.0,64.0,5.0,0.1,0.1,0.005,0.0001,200.0,64.0,0.1,0.0
lastfm,lp,9.0,0.8162,0.6337,0.3945,0.5339,0.2746,0.4467,0.6246,7.78,128.0,64.0,5.0,0.1,0.1,0.005,0.0001,200.0,64.0,0.1,0.0
