epoch,loss,val_auc
1,0.693359375,0.46499828381207553
5,0.5283203125,0.7729693728638773
10,0.092041015625,0.6325755643128369
15,0.00867462158203125,0.6324110267903027
20,0.0014524459838867188,0.5672977090632059
25,0.00042557716369628906,0.5748765392831137
30,0.0002129077911376953,0.5721819864244168
35,8.511543273925781e-05,0.5799741505540726
40,4.178285598754883e-05,0.5806773251898305
45,4.0531158447265625e-05,0.587277946426648
50,2.1517276763916016e-05,0.5757667881949191
55,2.008676528930664e-05,0.5806214692933288
1,0.6923828125,0.47680730147292594
5,0.45703125,0.8064259305695357
10,0.09423828125,0.7575018157427819
15,0.01053619384765625,0.6407080573572346
20,0.0011749267578125,0.6262570224255568
25,0.00023865699768066406,0.6871770242766605
30,7.528066635131836e-05,0.6401949635904857
35,3.9637088775634766e-05,0.6351319172582716
40,2.9325485229492188e-05,0.6402272563573483
45,2.0444393157958984e-05,0.6404946980600912
50,1.901388168334961e-05,0.6382335298003412
55,1.8894672393798828e-05,0.6318341580730938
