epoch,loss,val_auc
1,0.6962890625,0.48311826591353146
5,0.61767578125,0.8006185964333135
10,0.473876953125,0.8432695520948775
15,0.3515625,0.8538531744128092
20,0.2408447265625,0.8539977314878432
25,0.1505126953125,0.8597797250303079
30,0.091796875,0.8458007075481286
35,0.056060791015625,0.8371212596991091
40,0.035858154296875,0.8146080474452406
45,0.0232391357421875,0.7990463239939474
50,0.01617431640625,0.7858932270683099
55,0.01189422607421875,0.7869722843104333
60,0.00913238525390625,0.7770277417083441
65,0.006702423095703125,0.7716131853406956
70,0.005481719970703125,0.7601129312510724
75,0.004550933837890625,0.7691594227408993
