epoch,loss,train_acc
1,1.1113139390945435,0.2899022801302932
2,1.0998284816741943,0.34781035106768005
3,1.094857931137085,0.3803836409699602
4,1.0921074151992798,0.38183134274339486
5,1.0869109630584717,0.38762214983713356
6,1.0862650871276855,0.39558450959102426
7,1.0839080810546875,0.4006514657980456
8,1.08551025390625,0.41947158885269636
9,1.081525206565857,0.41512848353239235
10,1.077694296836853,0.4245385450597177
11,1.0759422779083252,0.41947158885269636
12,1.065597414970398,0.44299674267100975
13,1.0604535341262817,0.45095910242490045
14,1.0536962747573853,0.4683315237061165
15,1.0479521751403809,0.4914947520810713
16,1.035513162612915,0.5229822656532754
17,1.0245850086212158,0.567137169743033
18,1.0137908458709717,0.5899384726746291
19,0.9920253753662109,0.6217879116901919
20,0.9736160039901733,0.6239594643503439
21,0.9533453583717346,0.6369887803112558
22,0.9305852651596069,0.6264929424538545
23,0.9073688983917236,0.6391603329714078
24,0.8832130432128906,0.6340933767643865
25,0.8487595319747925,0.6373507057546145
26,0.8272244334220886,0.6395222584147665
27,0.7985427379608154,0.6395222584147665
28,0.7835683822631836,0.6373507057546145
29,0.7619789838790894,0.6431415128483532
30,0.7498623132705688,0.6409699601882012
31,0.7263064980506897,0.6413318856315599
32,0.7149571180343628,0.6547231270358306
33,0.7053682804107666,0.6666666666666666
34,0.6885307431221008,0.6872964169381107
35,0.6648792028427124,0.7144408251900108
36,0.6473374962806702,0.7347086500180963
37,0.6231459975242615,0.7528049221860297
38,0.6098010540008545,0.7723488961273978
39,0.5842312574386597,0.7937024972855592
40,0.5710474848747253,0.8060079623597539
41,0.5510883331298828,0.8031125588128846
42,0.5249643325805664,0.8237423090843287
43,0.5018519759178162,0.82880926529135
44,0.4910416007041931,0.833152370611654
45,0.46882307529449463,0.8483532392327181
46,0.44848597049713135,0.8574013753166848
47,0.4203203022480011,0.8650018096272168
48,0.4126945436000824,0.8668114368440102
49,0.38260793685913086,0.8794788273615635
50,0.3537406325340271,0.8834600072385088
51,0.3419507145881653,0.8943177705392689
52,0.33354616165161133,0.8921462178791169
53,0.31296810507774353,0.9030039811798769
54,0.28924018144607544,0.9116901918204849
55,0.2739899158477783,0.9145855953673543
56,0.2622501850128174,0.9153094462540716
57,0.24356864392757416,0.9207383279044516
58,0.2342979907989502,0.926891060441549
59,0.22903943061828613,0.9283387622149837
60,0.21942377090454102,0.927976836771625
61,0.21509627997875214,0.9287006876583423
62,0.1983027160167694,0.9384726746290264
63,0.19256605207920074,0.9384726746290264
64,0.1895958036184311,0.9370249728555917
65,0.17264479398727417,0.9435396308360477
66,0.17455677688121796,0.9464350343829171
67,0.1798151582479477,0.9399203764024611
68,0.17169196903705597,0.9453492580528411
69,0.16867251694202423,0.9424538545059717
70,0.15478970110416412,0.9569308722403185
71,0.1554972231388092,0.9500542888165038
72,0.14440716803073883,0.9551212450235251
73,0.1552468240261078,0.9453492580528411
74,0.14575082063674927,0.9562070213536011
75,0.14014895260334015,0.9565689467969598
76,0.14124707877635956,0.9569308722403185
77,0.13439548015594482,0.9609120521172638
78,0.1471754014492035,0.9540354686934491
79,0.12927432358264923,0.9587404994571118
80,0.14183931052684784,0.9558450959102425
81,0.14054927229881287,0.9515019905899385
82,0.1291782706975937,0.9587404994571118
83,0.12769418954849243,0.9641693811074918
84,0.1327894628047943,0.9616359030039812
85,0.12288853526115417,0.9630836047774158
86,0.13071806728839874,0.9641693811074918
87,0.11700228601694107,0.9670647846543612
88,0.12312661111354828,0.9630836047774158
89,0.11847762018442154,0.9652551574375678
90,0.12188391387462616,0.9619978284473398
91,0.12089913338422775,0.9634455302207745
92,0.11625638604164124,0.9659790083242852
93,0.12365047633647919,0.9619978284473398
94,0.10871705412864685,0.9663409337676439
95,0.12607014179229736,0.9623597538906985
96,0.1165798082947731,0.9721317408613825
97,0.12330403923988342,0.9645313065508505
98,0.12033350765705109,0.9656170828809265
99,0.11653781682252884,0.9638074556641332
100,0.09941155463457108,0.9721317408613825
101,0.10615181922912598,0.9710459645313065
102,0.11797480285167694,0.9641693811074918
103,0.1015225425362587,0.9681505609844372
104,0.10354912281036377,0.9732175171914585
105,0.10116095840930939,0.9735794426348172
106,0.10850170999765396,0.9703221136445892
107,0.1052628830075264,0.9717698154180239
108,0.10517207533121109,0.9688744118711545
109,0.11142022162675858,0.9663409337676439
110,0.09970960021018982,0.9695982627578719
111,0.10233118385076523,0.9721317408613825
112,0.1015113815665245,0.9724936663047412
113,0.10954441130161285,0.9699601882012305
114,0.10373865067958832,0.9710459645313065
115,0.09779267758131027,0.9743032935215346
116,0.10512321442365646,0.9743032935215346
117,0.09047050029039383,0.9735794426348172
118,0.09873019903898239,0.9724936663047412
119,0.09568623453378677,0.9735794426348172
120,0.09672534465789795,0.9761129207383279
121,0.09873273968696594,0.9717698154180239
122,0.0938321128487587,0.9771986970684039
123,0.10621834546327591,0.9732175171914585
124,0.09817875176668167,0.9768367716250452
125,0.09798141568899155,0.9746652189648932
126,0.09086272865533829,0.9764748461816866
127,0.08981196582317352,0.9782844733984799
128,0.09845106303691864,0.9728555917480999
129,0.0906924456357956,0.9761129207383279
130,0.10039108246564865,0.9695982627578719
131,0.10540815442800522,0.9706840390879479
132,0.09645359218120575,0.9706840390879479
133,0.08842114359140396,0.9775606225117626
134,0.09411636739969254,0.9764748461816866
135,0.09225080907344818,0.9753890698516106
136,0.09802138060331345,0.9735794426348172
137,0.09399430453777313,0.9753890698516106
138,0.10421937704086304,0.9724936663047412
139,0.09097856283187866,0.9793702497285559
140,0.08895456790924072,0.9750271444082519
141,0.08988267183303833,0.9761129207383279
142,0.09079781174659729,0.9790083242851972
143,0.09072446078062057,0.9782844733984799
144,0.0908503532409668,0.9786463988418386
145,0.08837565034627914,0.9753890698516106
146,0.08661410212516785,0.9782844733984799
147,0.09018473327159882,0.9768367716250452
148,0.0929943174123764,0.9732175171914585
149,0.08727174997329712,0.9786463988418386
150,0.08749796450138092,0.9786463988418386
151,0.08302035927772522,0.9779225479551212
152,0.09065670520067215,0.9797321751719146
153,0.08190123736858368,0.9786463988418386
154,0.08878133445978165,0.9757509952949692
155,0.08306804299354553,0.9761129207383279
156,0.09488475322723389,0.9743032935215346
157,0.08553264290094376,0.9775606225117626
