epoch,loss,val_macro
1,1.409554123878479,0.07734806629834254
2,1.3972837924957275,0.08976279650436954
3,1.3869857788085938,0.2901382436443412
4,1.3768888711929321,0.4537654263637912
5,1.3657630681991577,0.3613532110091743
6,1.3549052476882935,0.31126653654304925
7,1.3484832048416138,0.30139130028573435
8,1.3365029096603394,0.27795240233497975
9,1.3267849683761597,0.28311011904761907
10,1.3159775733947754,0.29300000000000004
11,1.3024080991744995,0.3100416395069415
12,1.2872493267059326,0.322747183979975
13,1.276310682296753,0.35423207744636315
14,1.2566665410995483,0.43004331994876444
15,1.2433843612670898,0.49344610883874634
16,1.2226150035858154,0.533323774703085
17,1.2127231359481812,0.5538440059568132
18,1.1897422075271606,0.5874279727606077
19,1.1778244972229004,0.604003793039668
20,1.1454827785491943,0.6082772214101329
21,1.1308637857437134,0.6265804935370153
22,1.1065753698349,0.6265804935370153
23,1.0777002573013306,0.6204591688462656
24,1.0629178285598755,0.6461621661258685
25,1.033146619796753,0.6342579494519149
26,1.0010926723480225,0.6389310298659748
27,0.9716684222221375,0.6389310298659748
28,0.9627706408500671,0.6449295296693026
29,0.9243119955062866,0.6415191206119464
30,0.8960914611816406,0.6460950080515298
31,0.8800740242004395,0.6690148034530639
32,0.8292720317840576,0.6694350848569757
33,0.8163340091705322,0.685859461709212
34,0.781958818435669,0.7566666404319288
35,0.7398366332054138,0.7690092879256966
36,0.7203858494758606,0.792431669637552
37,0.7000727653503418,0.8139630735143167
38,0.6689864993095398,0.8243109758887972
39,0.6299871802330017,0.8243109758887972
40,0.6097210049629211,0.8243109758887972
41,0.5828964114189148,0.8405926561672303
42,0.5451167821884155,0.8528927809213053
43,0.5284240245819092,0.8749669662270837
44,0.4978979527950287,0.8791486457596738
45,0.461197167634964,0.8852179043810335
46,0.43906086683273315,0.8916258563565084
47,0.4003375470638275,0.885249292581622
48,0.3859635293483734,0.9001205394962218
49,0.37587419152259827,0.9084497301571263
50,0.33220213651657104,0.9012983076772882
51,0.31347712874412537,0.9076997362575759
52,0.29153791069984436,0.9012983076772882
53,0.275387167930603,0.9012983076772882
54,0.2408655434846878,0.9216739527662382
55,0.2273513674736023,0.9150023468225158
56,0.2169608473777771,0.9085356114194874
57,0.18543219566345215,0.9148407793555692
58,0.1842256337404251,0.9069899681452954
59,0.16351203620433807,0.9010641739300276
