metapath,spectral_similarity,knn_overlap_k10,auc,f1,cka_with_zfinal,estimated_importance,mps,diversity_score
PAP,,0.013900000000000001,0.6103101604278075,0.5839793281653747,0.04382380525317233,0.0652176224792953,,
PSP,0.0,0.017400000000000002,0.591768779342723,0.6866705135603001,0.48349979465737103,0.059840196056307526,0.2419275117370892,
diversity,,,,,,,,0.9676870585399119
average_mps,,,,,,,0.2419275117370892,
