epoch,loss,val_auc
1,0.6923828125,0.6793627481032718
5,0.611328125,0.765591789774783
10,0.46630859375,0.8647307373640216
15,0.34326171875,0.854378096742693
20,0.2359619140625,0.8550866888747772
25,0.1522216796875,0.8655543357446777
30,0.091552734375,0.8622016796747002
35,0.0537109375,0.8608960281523172
40,0.03350830078125,0.8429599156341141
45,0.0207977294921875,0.8461716507532029
50,0.0141143798828125,0.8353090778701354
55,0.0097503662109375,0.8420222574379147
60,0.007160186767578125,0.8379832650475938
65,0.00547027587890625,0.8439726119844115
70,0.004528045654296875,0.8398510912844415
75,0.003673553466796875,0.8397172767121373
1,0.69287109375,0.6514957560934758
5,0.61181640625,0.7943200683643378
10,0.46923828125,0.8794350087528793
15,0.351806640625,0.8709788800705108
20,0.248779296875,0.8694998264059693
25,0.163330078125,0.8780046524826387
30,0.1005859375,0.8752626050813046
35,0.059783935546875,0.8697259035630277
40,0.03729248046875,0.8538433815954553
45,0.0229034423828125,0.8469089123256639
50,0.015289306640625,0.8389340985022128
55,0.01070404052734375,0.844841122027253
60,0.007476806640625,0.833243359316877
