relation,connected_sim,random_sim,lift,cka_to_final
pa,0.8745365142822266,0.20277248322963715,0.6717640310525894,0.9244291728780362
ap,0.8765214085578918,0.21021611988544464,0.6663052886724472,0.9244291728780362
ps,0.7033942341804504,0.20693106949329376,0.4964631646871567,0.7862260321693704
sp,0.7033942341804504,0.21362796425819397,0.48976626992225647,0.7862261051199357
