metric,value
homo_vs_ref,0.9999978207346407
homo_vs_pa,0.0
homo_vs_ap,0.0
homo_vs_ps,0.0
homo_vs_sp,0.0
eigenvector_cka,0.9999999999888933
eigenvector_cosine,0.8462769209689803
