combo_id,fold,val_macro,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
73,0,0.6073,128,32,5,0.1,0.5,0.005,0.0001,200,32,0.0,10
74,0,0.6275,128,128,1,0.1,0.1,0.005,0.0001,600,64,0.0,10
75,0,0.6221,128,64,2,0.5,0.1,0.005,0.0001,300,32,0.1,10
76,0,0.6153,128,32,5,0.5,0.1,0.001,0.0001,500,64,0.1,0
77,0,0.6077,128,64,3,0.5,0.1,0.005,0.0001,1000,64,0.0,10
78,0,0.6083,32,32,1,0.5,0.1,0.001,0.0001,400,64,0.1,0
79,0,0.619,32,32,5,0.1,0.5,0.001,0.0001,300,64,0.1,0
80,0,0.5943,32,128,1,0.1,0.1,0.005,0.0001,1000,64,0.1,0
81,0,0.6216,32,32,3,0.5,0.5,0.005,0.0001,200,128,0.0,10
82,0,0.6125,128,32,3,0.1,0.5,0.005,0.0001,400,32,0.1,10
83,0,0.6093,64,64,3,0.1,0.5,0.001,0.0001,200,128,0.0,0
84,0,0.6064,128,128,3,0.1,0.5,0.001,0.0001,200,128,0.1,0
85,0,0.6013,32,128,3,0.5,0.5,0.001,0.0001,700,32,0.1,0
86,0,0.6141,32,32,5,0.5,0.1,0.005,0.0001,200,64,0.1,0
87,0,0.6154,32,128,1,0.1,0.5,0.005,0.0001,600,64,0.0,10
88,0,0.6305,64,128,3,0.1,0.5,0.001,0.0001,600,64,0.1,10
89,0,0.622,64,64,6,0.5,0.5,0.005,0.0001,200,128,0.0,10
90,0,0.6146,128,64,6,0.5,0.5,0.005,0.0001,400,128,0.0,0
91,0,0.622,128,32,6,0.5,0.5,0.005,0.0001,500,64,0.0,0
92,0,0.5875,32,32,4,0.1,0.5,0.005,0.0001,1000,128,0.0,10
93,0,0.619,128,128,4,0.5,0.1,0.001,0.0001,300,32,0.1,0
94,0,0.6012,32,128,4,0.5,0.5,0.001,0.0001,1000,64,0.1,0
95,0,0.6281,64,128,4,0.1,0.1,0.005,0.0001,200,32,0.0,0
96,0,0.5973,64,128,5,0.5,0.5,0.001,0.0001,700,128,0.1,0
97,0,0.6185,128,32,1,0.5,0.5,0.005,0.0001,1000,64,0.1,10
98,0,0.5989,32,64,2,0.5,0.1,0.005,0.0001,600,64,0.0,10
99,0,0.614,32,128,6,0.1,0.1,0.005,0.0001,600,128,0.0,0
