dataset,task,macro_f1_mean,macro_f1_sd,micro_f1_mean,micro_f1_sd,accuracy_mean,accuracy_sd,auc_mean,auc_sd,n_seeds,best_hp_d,best_hp_d_prime,best_hp_K,best_hp_dropout,best_hp_dropout_gnn,best_hp_lr,best_hp_wd,best_hp_epochs,best_hp_hidden,best_hp_label_smoothing,best_hp_warmup
imdb,nc,0.6131,0.0,0.6224,0.0,0.6224,0.0,0.7801,0.0,1,64,64,2,0.5,0.5,0.001,0.0001,50,64,0.0,10
imdb,nc,0.6085,0.0256,0.6242,0.0137,0.6242,0.0137,0.7894,0.0109,10,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
