dataset,task,seed,test_macro_f1,test_micro_f1,test_accuracy,test_auc,time_sec,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_epochs
acm,nc,0.0,0.9391,0.9388,0.9388,0.9927,18.45,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,1.0,0.931,0.9306,0.9306,0.9918,18.47,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,2.0,0.9343,0.9339,0.9339,0.9897,18.43,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,3.0,0.9355,0.9355,0.9355,0.9896,18.45,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,4.0,0.9412,0.9405,0.9405,0.9869,18.42,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,5.0,0.9473,0.9471,0.9471,0.9922,18.38,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,6.0,0.9491,0.9488,0.9488,0.9935,18.41,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,7.0,0.9471,0.9471,0.9471,0.993,18.44,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,8.0,0.9359,0.9355,0.9355,0.9922,18.41,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,9.0,0.9358,0.9355,0.9355,0.9878,18.39,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,0.0,0.9329,0.9322,0.9322,0.9902,17.31,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,1.0,0.9197,0.919,0.919,0.9869,17.32,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,2.0,0.9411,0.9405,0.9405,0.9929,17.32,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,3.0,0.9346,0.9339,0.9339,0.9922,17.29,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,4.0,0.9409,0.9405,0.9405,0.9924,17.51,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,5.0,0.9425,0.9421,0.9421,0.9926,17.3,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,6.0,0.9364,0.9355,0.9355,0.991,17.31,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,7.0,0.9411,0.9405,0.9405,0.9913,17.29,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,8.0,0.9196,0.919,0.919,0.9883,17.31,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,9.0,0.9214,0.9207,0.9207,0.9866,17.27,128.0,5.0,0.5,0.005,0.001,500.0
acm,nc,0.0,0.9339,0.9339,0.9339,0.9903,22.48,64.0,4.0,0.5,0.001,0.001,500.0,128.0
acm,nc,1.0,0.9391,0.9388,0.9388,0.9903,22.48,64.0,4.0,0.5,0.001,0.001,500.0,128.0
acm,nc,2.0,0.9311,0.9306,0.9306,0.9839,22.36,64.0,4.0,0.5,0.001,0.001,500.0,128.0
acm,nc,3.0,0.9361,0.9355,0.9355,0.9922,22.38,64.0,4.0,0.5,0.001,0.001,500.0,128.0
acm,nc,4.0,0.9461,0.9455,0.9455,0.9931,22.45,64.0,4.0,0.5,0.001,0.001,500.0,128.0
acm,nc,5.0,0.9394,0.9388,0.9388,0.9922,22.46,64.0,4.0,0.5,0.001,0.001,500.0,128.0
acm,nc,6.0,0.9411,0.9405,0.9405,0.9934,22.88,64.0,4.0,0.5,0.001,0.001,500.0,128.0
acm,nc,7.0,0.946,0.9455,0.9455,0.9941,23.2,64.0,4.0,0.5,0.001,0.001,500.0,128.0
acm,nc,8.0,0.9376,0.9372,0.9372,0.9932,23.59,64.0,4.0,0.5,0.001,0.001,500.0,128.0
acm,nc,9.0,0.9409,0.9405,0.9405,0.9923,23.33,64.0,4.0,0.5,0.001,0.001,500.0,128.0
acm,nc,0.0,0.9412,0.9405,0.9405,0.9917,22.02,64.0,4.0,0.5,0.001,0.0001,500.0,128.0
acm,nc,1.0,0.9276,0.9273,0.9273,0.9902,21.84,64.0,4.0,0.5,0.001,0.0001,500.0,128.0
acm,nc,2.0,0.9307,0.9306,0.9306,0.9916,21.87,64.0,4.0,0.5,0.001,0.0001,500.0,128.0
acm,nc,3.0,0.9381,0.9372,0.9372,0.9923,21.86,64.0,4.0,0.5,0.001,0.0001,500.0,128.0
acm,nc,4.0,0.944,0.9438,0.9438,0.9917,21.9,64.0,4.0,0.5,0.001,0.0001,500.0,128.0
acm,nc,5.0,0.9391,0.9388,0.9388,0.9928,22.09,64.0,4.0,0.5,0.001,0.0001,500.0,128.0
acm,nc,6.0,0.9425,0.9421,0.9421,0.9912,22.01,64.0,4.0,0.5,0.001,0.0001,500.0,128.0
acm,nc,7.0,0.9424,0.9421,0.9421,0.991,21.92,64.0,4.0,0.5,0.001,0.0001,500.0,128.0
acm,nc,8.0,0.9443,0.9438,0.9438,0.9921,22.02,64.0,4.0,0.5,0.001,0.0001,500.0,128.0
acm,nc,9.0,0.9431,0.9421,0.9421,0.9936,22.05,64.0,4.0,0.5,0.001,0.0001,500.0,128.0
acm,nc,0.0,0.9409,0.9405,0.9405,0.9925,8.47,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.1,0.0
acm,nc,1.0,0.9377,0.9372,0.9372,0.9916,6.23,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.1,0.0
acm,nc,2.0,0.9343,0.9339,0.9339,0.9922,7.26,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.1,0.0
acm,nc,3.0,0.9429,0.9421,0.9421,0.9905,6.58,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.1,0.0
acm,nc,4.0,0.9426,0.9421,0.9421,0.9924,7.46,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.1,0.0
acm,nc,5.0,0.9427,0.9421,0.9421,0.9919,6.97,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.1,0.0
acm,nc,6.0,0.9392,0.9388,0.9388,0.993,6.89,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.1,0.0
acm,nc,7.0,0.9493,0.9488,0.9488,0.9917,6.47,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.1,0.0
acm,nc,8.0,0.9382,0.9372,0.9372,0.9904,6.47,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.1,0.0
acm,nc,9.0,0.9411,0.9405,0.9405,0.992,6.6,32.0,128.0,4.0,0.5,0.5,0.001,0.0001,1000.0,64.0,0.1,0.0
acm,nc,0.0,0.9262,0.9256,0.9256,0.9906,9.14,64.0,128.0,3.0,0.1,0.5,0.001,0.0001,600.0,64.0,0.1,10.0
acm,nc,1.0,0.9343,0.9339,0.9339,0.9927,5.74,64.0,128.0,3.0,0.1,0.5,0.001,0.0001,600.0,64.0,0.1,10.0
acm,nc,2.0,0.9445,0.9438,0.9438,0.9931,5.07,64.0,128.0,3.0,0.1,0.5,0.001,0.0001,600.0,64.0,0.1,10.0
acm,nc,3.0,0.9411,0.9405,0.9405,0.9926,5.19,64.0,128.0,3.0,0.1,0.5,0.001,0.0001,600.0,64.0,0.1,10.0
acm,nc,4.0,0.937,0.9372,0.9372,0.9918,6.59,64.0,128.0,3.0,0.1,0.5,0.001,0.0001,600.0,64.0,0.1,10.0
acm,nc,5.0,0.9397,0.9388,0.9388,0.9932,5.27,64.0,128.0,3.0,0.1,0.5,0.001,0.0001,600.0,64.0,0.1,10.0
acm,nc,6.0,0.9345,0.9339,0.9339,0.9918,5.15,64.0,128.0,3.0,0.1,0.5,0.001,0.0001,600.0,64.0,0.1,10.0
acm,nc,7.0,0.946,0.9455,0.9455,0.9931,5.84,64.0,128.0,3.0,0.1,0.5,0.001,0.0001,600.0,64.0,0.1,10.0
acm,nc,8.0,0.9373,0.9372,0.9372,0.9913,5.76,64.0,128.0,3.0,0.1,0.5,0.001,0.0001,600.0,64.0,0.1,10.0
acm,nc,9.0,0.9347,0.9339,0.9339,0.9911,4.63,64.0,128.0,3.0,0.1,0.5,0.001,0.0001,600.0,64.0,0.1,10.0
