dataset,task,macro_f1_mean,macro_f1_sd,micro_f1_mean,micro_f1_sd,accuracy_mean,accuracy_sd,auc_mean,auc_sd,n_seeds,best_hp_d,best_hp_K,best_hp_dropout,best_hp_lr,best_hp_wd,best_hp_epochs
acm,nc,0.9396,0.006,0.9393,0.006,0.9393,0.006,0.9909,0.0022,10,128,5,0.5,0.005,0.001,500
acm,nc,0.933,0.0089,0.9324,0.0089,0.9324,0.0089,0.9904,0.0023,10,128,5,0.5,0.005,0.001,500
acm,nc,0.9391,0.0045,0.9387,0.0045,0.9387,0.0045,0.9915,0.0028,10,64,4,0.5,0.001,0.001,500,128
acm,nc,0.9393,0.0055,0.9388,0.0054,0.9388,0.0054,0.9918,0.0009,10,64,4,0.5,0.001,0.0001,500,128
acm,nc,0.9409,0.0038,0.9403,0.0038,0.9403,0.0038,0.9918,0.0008,10,32,128,4,0.5,0.5,0.001,0.0001,1000,64,0.1,0
acm,nc,0.9375,0.0054,0.937,0.0054,0.937,0.0054,0.9921,0.0009,10,64,128,3,0.1,0.5,0.001,0.0001,600,64,0.1,10
