combo_id,fold,val_recall@10,val_ndcg@10,val_recall@20,val_ndcg@20,val_recall@50,val_ndcg@50,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup,hp_K_rec,hp_neg_ratio,hp_bpr_reg
7,0,0.127,0.1348,0.1898,0.1632,0.2973,0.2057,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
7,1,0.1306,0.1374,0.1977,0.1672,0.3121,0.212,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
7,2,0.1325,0.1407,0.1975,0.1696,0.3111,0.2144,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
7,3,0.1372,0.1449,0.2062,0.1758,0.3247,0.2225,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
7,4,0.1315,0.1404,0.1962,0.1698,0.3092,0.2145,128,64,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
8,0,0.1264,0.1352,0.1851,0.1617,0.2871,0.2021,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
8,1,0.1082,0.1133,0.1632,0.1377,0.259,0.1749,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
8,2,0.121,0.1292,0.1819,0.1564,0.2823,0.1961,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
8,3,0.1254,0.1312,0.1879,0.1595,0.2994,0.2033,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
8,4,0.1113,0.1195,0.1624,0.1423,0.2577,0.1798,64,128,1,0.5,0.1,0.005,0.0001,700,32,0.0,0,20,5,0.001
9,0,0.1107,0.1195,0.1675,0.1452,0.2614,0.1824,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
9,1,0.108,0.1146,0.1641,0.1393,0.2656,0.1789,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
9,2,0.1096,0.1182,0.1629,0.142,0.2611,0.1806,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
9,3,0.1108,0.1184,0.1679,0.1439,0.2731,0.1851,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
9,4,0.1125,0.1201,0.1629,0.1428,0.259,0.1804,64,64,5,0.5,0.5,0.005,0.0001,600,128,0.1,0,10,5,0.001
10,0,0.1123,0.1201,0.1672,0.145,0.2634,0.183,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
10,1,0.1075,0.1124,0.1642,0.1376,0.2625,0.176,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
10,2,0.1201,0.1279,0.1796,0.1544,0.2841,0.1956,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
10,3,0.1245,0.1311,0.1856,0.1584,0.2997,0.2032,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
10,4,0.1117,0.1195,0.1625,0.1424,0.2541,0.1789,64,128,3,0.5,0.5,0.001,0.0001,1000,128,0.0,10,20,10,0.0001
11,0,0.1275,0.1349,0.1899,0.1633,0.2967,0.2055,128,128,5,0.5,0.5,0.001,0.0001,700,128,0.0,0,10,5,0.0001
11,1,0.1328,0.1381,0.2,0.1681,0.3156,0.2134,128,128,5,0.5,0.5,0.001,0.0001,700,128,0.0,0,10,5,0.0001
11,2,0.1243,0.1323,0.183,0.1585,0.2917,0.2015,128,128,5,0.5,0.5,0.001,0.0001,700,128,0.0,0,10,5,0.0001
11,3,0.1267,0.1351,0.1915,0.164,0.3052,0.2087,128,128,5,0.5,0.5,0.001,0.0001,700,128,0.0,0,10,5,0.0001
11,4,0.1338,0.143,0.197,0.1716,0.3115,0.2165,128,128,5,0.5,0.5,0.001,0.0001,700,128,0.0,0,10,5,0.0001
12,0,0.1412,0.1477,0.2074,0.1776,0.329,0.2256,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
12,1,0.1423,0.1478,0.215,0.1804,0.3299,0.2256,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
12,2,0.1364,0.1435,0.2013,0.1727,0.3196,0.2194,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
12,3,0.1479,0.1549,0.2192,0.1868,0.3389,0.2339,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
12,4,0.1353,0.1436,0.1955,0.1709,0.3106,0.2165,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
13,0,0.1207,0.1286,0.1779,0.1546,0.2804,0.1952,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
13,1,0.1151,0.1185,0.1689,0.1424,0.2706,0.182,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
13,2,0.1183,0.1272,0.1757,0.1528,0.2727,0.191,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
13,3,0.1193,0.127,0.1762,0.1522,0.282,0.1937,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
13,4,0.1169,0.1267,0.1708,0.1506,0.2772,0.1928,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
14,0,0.1127,0.1216,0.1689,0.1472,0.2652,0.1851,64,64,3,0.5,0.1,0.001,0.0001,600,64,0.1,10,50,5,0.001
14,1,0.1072,0.1129,0.1645,0.1384,0.2644,0.1773,64,64,3,0.5,0.1,0.001,0.0001,600,64,0.1,10,50,5,0.001
14,2,0.1112,0.12,0.1638,0.1432,0.2601,0.1812,64,64,3,0.5,0.1,0.001,0.0001,600,64,0.1,10,50,5,0.001
14,3,0.1126,0.1192,0.1705,0.145,0.2754,0.1861,64,64,3,0.5,0.1,0.001,0.0001,600,64,0.1,10,50,5,0.001
14,4,0.1107,0.1201,0.1615,0.1428,0.2622,0.1824,64,64,3,0.5,0.1,0.001,0.0001,600,64,0.1,10,50,5,0.001
15,0,0.1248,0.1339,0.1867,0.162,0.2939,0.2046,32,64,1,0.1,0.1,0.005,0.0001,300,32,0.0,0,50,5,0.0001
15,1,0.1242,0.1298,0.1834,0.1559,0.2939,0.1992,32,64,1,0.1,0.1,0.005,0.0001,300,32,0.0,0,50,5,0.0001
15,2,0.1191,0.1278,0.1802,0.1553,0.2867,0.1972,32,64,1,0.1,0.1,0.005,0.0001,300,32,0.0,0,50,5,0.0001
15,3,0.124,0.1308,0.1879,0.1597,0.2972,0.2027,32,64,1,0.1,0.1,0.005,0.0001,300,32,0.0,0,50,5,0.0001
15,4,0.124,0.1301,0.1824,0.1565,0.2883,0.1985,32,64,1,0.1,0.1,0.005,0.0001,300,32,0.0,0,50,5,0.0001
16,0,0.1002,0.1087,0.1468,0.1295,0.2352,0.1644,32,32,3,0.5,0.5,0.001,0.0001,700,128,0.1,10,20,5,0.001
16,1,0.0954,0.1008,0.1446,0.1224,0.2317,0.1564,32,32,3,0.5,0.5,0.001,0.0001,700,128,0.1,10,20,5,0.001
16,2,0.0992,0.1075,0.1474,0.1283,0.2316,0.1614,32,32,3,0.5,0.5,0.001,0.0001,700,128,0.1,10,20,5,0.001
16,3,0.1008,0.1063,0.1543,0.1304,0.2401,0.1641,32,32,3,0.5,0.5,0.001,0.0001,700,128,0.1,10,20,5,0.001
16,4,0.1052,0.113,0.1533,0.1346,0.245,0.1706,32,32,3,0.5,0.5,0.001,0.0001,700,128,0.1,10,20,5,0.001
17,0,0.0698,0.0755,0.1104,0.0942,0.1832,0.1228,32,32,1,0.5,0.1,0.001,0.0001,300,128,0.0,10,50,10,0.0001
17,1,0.0929,0.0982,0.1399,0.1192,0.2261,0.1527,32,32,1,0.5,0.1,0.001,0.0001,300,128,0.0,10,50,10,0.0001
17,2,0.0875,0.0943,0.1286,0.1122,0.2116,0.1445,32,32,1,0.5,0.1,0.001,0.0001,300,128,0.0,10,50,10,0.0001
17,3,0.0998,0.1046,0.149,0.1266,0.238,0.1616,32,32,1,0.5,0.1,0.001,0.0001,300,128,0.0,10,50,10,0.0001
17,4,0.0965,0.104,0.142,0.1239,0.2216,0.1556,32,32,1,0.5,0.1,0.001,0.0001,300,128,0.0,10,50,10,0.0001
18,0,0.1041,0.1117,0.1545,0.1345,0.2471,0.1711,32,128,5,0.5,0.5,0.005,0.0001,400,64,0.1,0,10,10,0.0001
18,1,0.1043,0.1088,0.1582,0.1327,0.2529,0.1697,32,128,5,0.5,0.5,0.005,0.0001,400,64,0.1,0,10,10,0.0001
18,2,0.1011,0.1088,0.1477,0.1293,0.2403,0.1657,32,128,5,0.5,0.5,0.005,0.0001,400,64,0.1,0,10,10,0.0001
18,3,0.1071,0.1127,0.1591,0.1356,0.2575,0.1744,32,128,5,0.5,0.5,0.005,0.0001,400,64,0.1,0,10,10,0.0001
18,4,0.1009,0.1077,0.1459,0.128,0.233,0.1624,32,128,5,0.5,0.5,0.005,0.0001,400,64,0.1,0,10,10,0.0001
19,0,0.1305,0.139,0.192,0.167,0.297,0.2085,128,32,5,0.5,0.5,0.005,0.0001,500,128,0.1,10,10,10,0.001
19,1,0.1283,0.1331,0.1921,0.1614,0.3046,0.2051,128,32,5,0.5,0.5,0.005,0.0001,500,128,0.1,10,10,10,0.001
19,2,0.1245,0.1338,0.183,0.1599,0.291,0.2024,128,32,5,0.5,0.5,0.005,0.0001,500,128,0.1,10,10,10,0.001
19,3,0.1264,0.1334,0.1894,0.1616,0.2986,0.2045,128,32,5,0.5,0.5,0.005,0.0001,500,128,0.1,10,10,10,0.001
19,4,0.1289,0.1374,0.1865,0.1634,0.2949,0.206,128,32,5,0.5,0.5,0.005,0.0001,500,128,0.1,10,10,10,0.001
20,0,0.1277,0.1352,0.1884,0.1631,0.2953,0.2053,128,32,4,0.5,0.5,0.001,0.0001,500,128,0.0,0,20,5,0.0001
20,1,0.1256,0.1312,0.1908,0.1602,0.3008,0.2034,128,32,4,0.5,0.5,0.001,0.0001,500,128,0.0,0,20,5,0.0001
20,2,0.1254,0.1332,0.1832,0.1588,0.2882,0.2003,128,32,4,0.5,0.5,0.001,0.0001,500,128,0.0,0,20,5,0.0001
20,3,0.1265,0.1344,0.1869,0.1614,0.2984,0.2051,128,32,4,0.5,0.5,0.001,0.0001,500,128,0.0,0,20,5,0.0001
